data;dia_semana;descricao
01/01/2020;quarta-feira;Confraternização Universal
24/02/2020;segunda-feira;Carnaval
25/02/2020;terça-feira;Carnaval
26/02/2024;quarta-feira;Quarta-Feira de Cinzas
10/04/2020;sexta-feira;Paixão de Cristo
21/04/2020;terça-feira;Tiradentes
01/05/2020;sexta-feira;Dia do Trabalho
11/06/2020;quinta-feira;Corpus Christi
07/09/2020;segunda-feira;Independência do Brasil
12/10/2020;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2020;segunda-feira;Finados
15/11/2020;domingo;Proclamação da República
25/12/2020;sexta-feira;Natal
01/01/2021;sexta-feira;Confraternização Universal
15/02/2021;segunda-feira;Carnaval
16/02/2021;terça-feira;Carnaval
17/02/2024;quarta-feira;Quarta-Feira de Cinzas
02/04/2021;sexta-feira;Paixão de Cristo
21/04/2021;quarta-feira;Tiradentes
01/05/2021;sábado;Dia do Trabalho
03/06/2021;quinta-feira;Corpus Christi
07/09/2021;terça-feira;Independência do Brasil
12/10/2021;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2021;terça-feira;Finados
15/11/2021;segunda-feira;Proclamação da República
25/12/2021;sábado;Natal
01/01/2022;sábado;Confraternização Universal
28/02/2022;segunda-feira;Carnaval
01/03/2022;terça-feira;Carnaval
02/03/2024;quarta-feira;Quarta-Feira de Cinzas
15/04/2022;sexta-feira;Paixão de Cristo
21/04/2022;quinta-feira;Tiradentes
01/05/2022;domingo;Dia do Trabalho
16/06/2022;quinta-feira;Corpus Christi
07/09/2022;quarta-feira;Independência do Brasil
12/10/2022;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2022;quarta-feira;Finados
15/11/2022;terça-feira;Proclamação da República
25/12/2022;domingo;Natal
01/01/2023;domingo;Confraternização Universal
20/02/2023;segunda-feira;Carnaval
21/02/2023;terça-feira;Carnaval
22/02/2024;quarta-feira;Quarta-Feira de Cinzas
07/04/2023;sexta-feira;Paixão de Cristo
21/04/2023;sexta-feira;Tiradentes
01/05/2023;segunda-feira;Dia do Trabalho
08/06/2023;quinta-feira;Corpus Christi
07/09/2023;quinta-feira;Independência do Brasil
12/10/2023;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2023;quinta-feira;Finados
15/11/2023;quarta-feira;Proclamação da República
25/12/2023;segunda-feira;Natal
01/01/2024;segunda-feira;Confraternização Universal
12/02/2024;segunda-feira;Carnaval
13/02/2024;terça-feira;Carnaval
14/02/2024;quarta-feira;Quarta-Feira de Cinzas
29/03/2024;sexta-feira;Paixão de Cristo
21/04/2024;domingo;Tiradentes
01/05/2024;quarta-feira;Dia do Trabalho
30/05/2024;quinta-feira;Corpus Christi
07/09/2024;sábado;Independência do Brasil
12/10/2024;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2024;sábado;Finados
15/11/2024;sexta-feira;Proclamação da República
25/12/2024;quarta-feira;Natal